distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
2.1,0.4,0.1,9,100,45,0.16889612219446348,3.8453434594525916e-19,-0.1688961221944634,2.1183070867510006e-17,0.16889612219446343,0.00027749444574893043,true,9,2.0167670344963535e-16,1.228466263165779,1.7757478482017763e+25
2.1,0.4,0.1,11,144,66,0.1689024822865498,5.5294354854902231e-19,-0.16890248228654978,2.1292536849202451e-17,0.1689024822865498,3.7655409205645691e-05,true,9,1.140531854530328e-16,1.2366641217407619,2.4628786855671003e+33
2.1,0.8,0.1,1,4,1,0.65376530182809345,0,-0.65376530182809334,8.0061734917828991e-17,0.65376530182809334,0,false,0,2.1389942014852948e-16,1.0923430185952472,1.0923430185952472
2.1,0.8,0.1,3,16,6,0.71656000407136078,1.8749557889885628e-18,-0.71656000407136078,9.0042786992145347e-17,0.71656000407136078,0.087633557394327835,true,0,3.9880700638034296e-16,1.2876988421334499,3609.2310496168338
2.1,0.8,0.1,5,36,15,0.73762454955974233,4.1428663840525723e-18,-0.73762454955974233,9.5207335871994084e-17,0.73762454955974233,0.02855727280356125,true,0,2.6953918153724959e-16,1.4276186400730957,34421214469.41024
2.1,0.8,0.1,7,64,28,0.74206598083041153,4.9063214358562994e-18,-0.74206598083041164,9.6476018531609103e-17,0.74206598083041153,0.0059852242056684249,true,0,2.3155186302033413e-16,1.513696557242955,1.1887548126678886e+18
2.1,0.8,0.1,9,100,45,0.74288679061537743,7.2415957119618145e-18,-0.74288679061537732,9.5431881475465764e-17,0.74288679061537732,0.0011048921522562906,true,0,4.6826013996361943e-16,1.5623412120471489,1.142694532249547e+26
2.1,0.8,0.1,11,144,66,0.74303845151783798,4.3112755866563365e-18,-0.74303845151783787,9.6913882458378895e-17,0.74303845151783798,0.00020410909038522045,true,0,2.6711247632553961e-16,1.5879654557222973,3.7596442040034334e+34
2.1,1.0,0.1,1,4,1,1.0334371099674209,0,-1.0334371099674209,1.2655951575672798e-16,1.0334371099674209,0,false,0,3.3168620014131322e-17,1.1167767112796907,1.1167767112796907
2.1,1.0,0.1,3,16,6,1.1658691337674172,5.7820492893958669e-18,-1.1658691337674172,1.4821413239152854e-16,1.1658691337674172,0.11359081389525454,true,0,6.9395720735248658e-17,1.381839399766662,5920.6139225516981
2.1,1.0,0.1,5,36,15,1.2148352228571322,1.2153530787904904e-17,-1.2148352228571322,1.6150442529700882e-16,1.2148352228571322,0.040306774259107524,true,0,4.6325886648964012e-17,1.585926882783804,59694075029.363213
2.1,1.0,0.1,7,64,28,1.22647771758186,1.3458702108084069e-17,-1.2264777175818597,1.6257101691349933e-16,1.2264777175818597,0.0094926263704832505,true,0,1.5257914644655977e-16,1.7180827103494873,2.2127590180317064e+18
2.1,1.0,0.1,9,100,45,1.2289519871998802,1.5367339737593384e-17,-1.2289519871998802,1.6407266563671622e-16,1.2289519871998802,0.0020133167477582739,true,0,3.4348347781451433e-16,1.795426902687745,2.323733370105792e+26
2.1,1.0,0.1,11,144,66,1.2294814115416135,1.2658758395716194e-17,-1.2294814115416135,1.6421300663888603e-16,1.2294814115416135,0.00043060784552202219,true,0,1.5987657836812192e-16,1.8371709492666357,7.1524944735547126e+33
2.5,0.1,0.1,1,4,1,0.0048926672170301697,0,-0.0048926672170301697,5.9916836613870098e-19,0.0048926672170301697,0,false,5,1.3398812564585655e-16,1.0066187172931136,1.0066187172931136
2.5,0.1,0.1,3,16,6,0.0049119052929698665,3.2892422383547482e-22,-0.0049119052929698656,6.0222736142037098e-19,0.0049119052929698665,0.003916621920058338,true,5,9.5485246975008043e-17,1.0130320697878408,10.365897925234576
2.5,0.1,0.1,5,36,15,0.004914168584618973,7.6748985561610795e-22,-0.004914168584618973,6.0274267603771319e-19,0.004914168584618973,0.00046056451058494575,true,5,9.4953766362994865e-17,1.014468111381313,33719227.166027501
2.5,0.1,0.1,7,64,28,0.0049143327407276506,4.7145805416418063e-22,-0.0049143327407276506,6.0278653260089123e-19,0.0049143327407276506,3.3403539674301347e-05,true,5,1.9639759456674653e-16,1.0146977438021223,451795301914537.12
2.5,0.1,0.1,9,100,45,0.0049143418660100406,1.3376251769309311e-21,-0.0049143418660100415,6.0277556846009679e-19,0.0049143418660100415,1.8568676415275116e-06,true,5,1.9498805200508552e-16,1.0147262780555404,1.5454641738450012e+22
2.5,0.4,0.1,1,4,1,0.079067664837804294,0,-0.079067664837804294,9.6835291497163788e-18,0.079067664837804294,0,false,7,4.8523752762402057e-17,1.0267403492803469,1.0267403492803469
2.5,0.4,0.1,3,16,6,0.080293984577491664,6.1048335943864138e-20,-0.080293984577491664,9.8821116677866521e-18,0.080293984577491664,0.015272871886235141,true,7,1.9635525985649428e-16,1.0542577404684377,140.67274427052786
2.5,0.4,0.1,5,36,15,0.080455256315098034,3.2980135509903611e-20,-0.080455256315098034,9.9164952133182521e-18,0.080455256315098034,0.0020044897622941947,true,7,1.419652824252517e-17,1.0607024505788476,561755292.40521383
2.5,0.4,0.1,7,64,28,0.080467349312104405,8.1397781258485521e-20,-0.080467349312104405,9.9200037383724973e-18,0.080467349312104405,0.000150284520488765,true,7,2.4920021362046189e-16,1.0617620743077247,7673810018811905
2.5,0.4,0.1,9,100,45,0.080468046415533123,5.1926170802826966e-20,-0.080468046415533151,9.9207054433833476e-18,0.080468046415533137,8.6631086472752212e-06,true,7,3.1079751138898516e-16,1.0618965192718979,2.6936939168062004e+23
2.5,0.8,0.1,1,4,1,0.3205565515480841,0,-0.3205565515480841,3.9256185126937185e-17,0.3205565515480841,0,false,7,3.4033595139522847e-16,1.0542054339551954,1.0542054339551954
2.5,0.8,0.1,3,16,6,0.33116782274484807,4.0979572633582364e-19,-0.33116782274484796,4.0962731713321983e-17,0.33116782274484802,0.032041975300660441,true,7,3.0054659469503845e-16,1.1149217892513363,576.97433923103188
2.5,0.8,0.1,5,36,15,0.33267375381952907,7.0731865093580517e-19,-0.33267375381952918,4.132200467887668e-17,0.33267375381952913,0.0045267504796848417,true,7,2.2508003362499478e-16,1.1301121602097219,2382941505.9250293
2.5,0.8,0.1,7,64,28,0.33279246154384573,6.4556860998109193e-19,-0.33279246154384567,4.1333231959050265e-17,0.33279246154384567,0.00035670196303690842,true,7,2.1218981712445661e-16,1.1327142220589135,33472463014110384
2.5,0.8,0.1,9,100,45,0.33279967563319529,7.4661413154334985e-19,-0.33279967563319524,4.1333231959050265e-17,0.33279967563319524,2.1676972298230637e-05,true,7,3.4784683682556539e-16,1.133054633671726,1.218675195444543e+24
2.5,1.0,0.1,1,4,1,0.50428648956273903,0,-0.50428648956273892,6.175705800482163e-17,0.50428648956273903,0,false,7,1.557100529703091e-16,1.0682190219619712,1.0682190219619712
2.5,1.0,0.1,3,16,6,0.52596349345472027,7.0872206095750311e-19,-0.52596349345472027,6.5265583059066702e-17,0.52596349345472027,0.041213894427536819,true,7,5.078554326132451e-18,1.1481156712599769,917.84226430897809
2.5,1.0,0.1,5,36,15,0.52915900883745115,9.0519946399522681e-19,-0.52915900883745104,6.5918168719156282e-17,0.52915900883745104,0.006038856618450654,true,7,3.0141093880795133e-16,1.1688381446916156,3843545548.4959898
2.5,1.0,0.1,7,64,28,0.52941800812643802,9.8238701518861815e-19,-0.52941800812643813,6.6030441520892128e-17,0.52941800812643813,0.00048921510982136358,true,7,1.5394350848936507e-16,1.1724685659634722,54803780301936456
2.5,1.0,0.1,9,100,45,0.52943420501043814,9.2625061432069714e-19,-0.52943420501043814,6.6016407420675147e-17,0.52943420501043814,3.0592817477186537e-05,true,7,1.5510320319956383e-16,1.1729515269486779,2.0327493302668466e+24
3.0,0.1,0.1,1,4,1,0.0023673627816643921,0,-0.0023673627816643917,2.8992477502938209e-19,0.0023673627816643917,0,false,5,1.4467572390814989e-16,1.0038741290064856,1.0038741290064856
