holdout_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_d_x,model_d_y,model_d_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
19,n10_compact_f0.1_d3.0,3,4.5000000000000009,-2.598076211353316,0,-0.0041515894638648933,0.0023969212945272101,0,-0.0041946874061241134,0.0024218039030920908,0,-0.0042103127309773012,0.0024308251886022538,0,-0.0042103127309773012,0.0024308251886022538,0,-0.0041804276726813226,0.0024135710421503229,0,-2.9885058295978273e-05,1.7254146451930726e-05,0
19,n10_compact_f0.1_d3.0,4,-3,0,0,0.0042961021540082276,-0.0019294853125978197,0,0.0043554738592385686,-0.0019476832523160365,0,0.0043874282583574523,-0.00196122927464276,0,0.0043874282583574523,-0.00196122927464276,0,0.0043406277726028945,-0.0019411410698786833,0,4.6800485754557921e-05,-2.0088204764076786e-05,0
19,n10_compact_f0.1_d3.0,5,0,0,0,-2.1684043449710089e-18,-3.7947076036992655e-19,0,-1.629052039249162e-19,-1.3472736208301052e-19,0,-1.4146578727060653e-18,-3.2258732524057086e-18,0,-1.4146578727060653e-18,-3.2258732524057086e-18,0,-1.3911991976948342e-18,-3.1752668819302106e-18,0,-2.3458675011231076e-20,-5.0606370475498022e-20,0
19,n10_compact_f0.1_d3.0,6,3.0000000000000009,0,0,-0.0042961021540082241,-0.0019294853125978206,0,-0.0043554738592385765,-0.0019476832523160357,0,-0.0043874282583574601,-0.0019612292746427618,0,-0.0043874282583574601,-0.0019612292746427618,0,-0.0043406277726029023,-0.001941141069878685,0,-4.6800485754558016e-05,-2.00882047640768e-05,0
19,n10_compact_f0.1_d3.0,7,-1.5,2.598076211353316,0,0.0038190343739427832,-0.0027557909463252618,0,0.0038644801046504632,-0.0027981093814616375,0,0.0038921885036650788,-0.0028190096916978998,0,0.0038921885036650788,-0.0028190096916978998,0,0.0038513913651456858,-0.0027885233845070393,0,4.079713851939296e-05,-3.0486307190860629e-05,0
19,n10_compact_f0.1_d3.0,8,1.5000000000000007,2.598076211353316,0,-0.0038190343739427828,-0.0027557909463252596,0,-0.0038644801046504667,-0.0027981093814616405,0,-0.0038921885036650849,-0.0028190096916979007,0,-0.0038921885036650849,-0.0028190096916979007,0,-0.0038513913651456919,-0.0027885233845070401,0,-4.0797138519393034e-05,-3.0486307190860639e-05,0
19,n10_compact_f0.1_d3.0,9,0,5.1961524227066329,0,-2.1684043449710089e-19,-0.0047938425890544168,0,7.1854593110938935e-19,-0.0048436078061841765,0,-9.2294275262631499e-20,-0.004861650377204498,0,-9.2294275262631499e-20,-0.004861650377204498,0,-8.9656143800939695e-20,-0.0048271420843006363,0,-2.6381314616918027e-21,-3.4508292903861378e-05,0
20,n10_compact_f0.1_d2.1,0,-3.1500000000000008,-1.8186533479473213,0,0.017084214609545741,0.0098635759037145679,0,0.01772083967932734,0.010231131559125839,0,0.018200445348646857,0.010508032021412331,0,0.018200445348646857,0.010508032021412331,0,0.017664000546036843,0.010198315470220064,0,0.00053644480261001454,0.0003097165511922672,0
20,n10_compact_f0.1_d2.1,1,-1.05,-1.8186533479473213,0,0.0019298155841327507,0.019309979023291665,0,0.0020686075406308306,0.020243589437609674,0,0.0021589732516403394,0.020983295616915115,0,0.0021589732516403394,0.020983295616915115,0,0.0020611614422859316,0.020178575973427381,0,9.7811809354407701e-05,0.00080471964348773311,0
20,n10_compact_f0.1_d2.1,2,1.0500000000000005,-1.8186533479473213,0,-0.0019298155841327535,0.019309979023291665,0,-0.0020686075406308418,0.020243589437609674,0,-0.0021589732516403498,0.020983295616915108,0,-0.0021589732516403498,0.020983295616915108,0,-0.0020611614422859415,0.020178575973427374,0,-9.7811809354408244e-05,0.00080471964348773366,0
20,n10_compact_f0.1_d2.1,3,3.1500000000000008,-1.8186533479473213,0,-0.017084214609545748,0.0098635759037145818,0,-0.017720839679327353,0.010231131559125854,0,-0.018200445348646878,0.010508032021412341,0,-0.018200445348646878,0.010508032021412341,0,-0.017664000546036864,0.010198315470220072,0,-0.00053644480261001509,0.00030971655119226802,0
20,n10_compact_f0.1_d2.1,4,-2.1000000000000001,0,0,0.017687840172781581,-0.0079837201911677532,0,0.018565766487067724,-0.0083303280381584535,0,0.019251553685187314,-0.0086219221264459342,0,0.019251553685187314,-0.0086219221264459342,0,0.018505740126325377,-0.0083042698163931054,0,0.00074581355886193721,-0.00031765231005282963,0
20,n10_compact_f0.1_d2.1,5,0,0,0,-4.3368086899420177e-18,2.1684043449710089e-19,0,-1.6817873636426243e-17,1.9400740139953512e-17,0,-1.4167688697438815e-17,-2.0828913052777429e-17,0,-1.4167688697438815e-17,-2.0828913052777429e-17,0,-1.3263858307831661e-17,-1.958269898882053e-17,0,-9.0383038960715496e-19,-1.2462140639568978e-18,0
