geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,rms_b_vs_c,max_symmetric_a_vs_c,max_symmetric_b_vs_c,max_angle_a_vs_c_deg,max_angle_b_vs_c_deg,rms_two_body_correction,rms_irreducible_multibody,residual_relative,condition_number,sum_c_x,sum_c_y
scalene,0.1,0.0,0.8,6.969182389937107,0.00220853851152489,0.001021349465371495,0.0023671688440681637,0.001435368785243785,0.008283996796947142,5.598568198963992e-06,8.049502001440217e-06,6.674745616858652e-06,1.3243597753738826e-16,1.006017438292853,-2.150014626313803e-06,-3.1985552377475357e-06
scalene,0.1,0.0,0.8,7.018867924528303,0.0021669678462854424,0.0010022568468136888,0.002322442421555193,0.0014080994235727152,0.008128876680255309,4.7536104815230715e-06,7.687110977971575e-06,6.376017832364551e-06,1.7097412030604368e-16,1.005899197710886,-2.052161145815821e-06,-3.0537300637336826e-06
scalene,0.1,0.0,0.8,7.068553459119498,0.0021264920896910664,0.0009836659925834186,0.0022788980700323325,0.00138155648845971,0.00797803634727036,4.094554566467037e-06,7.343690920576856e-06,6.092859396753989e-06,1.0813352338820364e-16,1.005784251540542,-1.9594972388631477e-06,-2.9165649480366457e-06
scalene,0.1,0.0,0.8,7.118238993710692,0.002087073984371414,0.0009655598140646267,0.002236495448036266,0.0013557151261561215,0.007831329609974695,3.4150945850063763e-06,7.018114798722483e-06,5.824348078698698e-06,1.5292389874090115e-16,1.00567248518973,-1.8717112769889906e-06,-2.78660056426093e-06
scalene,0.1,0.0,0.8,7.167924528301887,0.002048677796622548,0.0009479219225688298,0.0021951958679565465,0.0013305515034046688,0.007688615997314018,2.699869328381916e-06,6.709330208817265e-06,5.569622600720857e-06,7.64619488007647e-17,1.0055637888274715,-1.7885124388872394e-06,-2.663408233800034e-06
scalene,0.1,0.0,0.8,7.2176100628930815,0.002011269243912014,0.0009307365959597249,0.002154962217128212,0.0013060427586864137,0.007549761053443321,2.2588727439225506e-06,6.416353939237655e-06,5.327878204462674e-06,7.646195107950817e-17,1.0054580571541012,-1.7096291854447863e-06,-2.5465876800643064e-06
scalene,0.1,0.0,0.8,7.267295597484278,0.0019748154263026525,0.0009139887470882543,0.0021157588832022038,0.0012821669561191445,0.007414636006971183,1.4787793334710982e-06,6.1382669662388235e-06,5.098362567429532e-06,1.8729275930068566e-16,1.0053551891840926,-1.6348078562473164e-06,-2.4357649616602722e-06
scalene,0.1,0.0,0.8,7.3169811320754725,0.0019392847615734975,0.0008976638939296522,0.0020775516835473645,0.0012589030418419138,0.0072831164820813055,1.9090959104164224e-06,5.874209843942818e-06,4.880372041122425e-06,2.63997855900607e-20,1.005255088040724,-1.5638113771223347e-06,-2.3305905690988726e-06
scalene,0.1,0.0,0.8,7.366666666666667,0.00190464692379813,0.0008817481313188238,0.0020403077984295975,0.0012362308027415619,0.007155083908088671,2.561320938754782e-06,5.623378454803922e-06,4.67324818322464e-06,7.646195107950817e-17,1.0051576607618766,-1.496418069262532e-06,-2.230737671109727e-06
scalene,0.1,0.0,0.8,7.416352201257862,0.0018708727851777635,0.0008662281041894976,0.0020039957077479737,0.0012141308273766944,0.007030423757903567,3.078324659199975e-06,5.385020090123944e-06,4.4763745590140935e-06,7.646194652202115e-17,1.0050628181162762,-1.4324205512962842e-06,-2.1359004978528315e-06
