case_id,lmax,rms_d,rms_matched_pairwise,rms_collective_residual,delta_d,delta_d_applicable,delta_b,delta_b_applicable,delta_r,delta_r_applicable,physical_residual,balanced_condition,raw_condition
n10_linear_f1.0_d2.5,9,0.26387005809390784,0.25670386996349964,0.0089323406602139273,1.9592222080113727e-05,true,2.7450893155691346e-05,true,2.108846016755872e-05,true,6.8492458898209141e-16,1.2022239589704931,7.5077066999108977e+24
n10_linear_f1.0_d3.0,1,0.12107029004553814,0.11771423691303301,0.0042857711022193396,0,false,0,false,0,false,2.9007971726050264e-16,1.0807732852415599,1.0807732852415604
n10_linear_f1.0_d3.0,3,0.12169826048785139,0.11934931807065051,0.0029648070724344311,0.0099089428924121412,true,0.013480334426021279,true,0.01089826210977418,true,3.9063025906316713e-16,1.0924115909462655,566.87916193780143
n10_linear_f1.0_d3.0,5,0.1217290928891273,0.11945978128532748,0.0028630960706755634,0.00067966403147558534,true,0.00091056880192091482,true,0.00085033570779172608,true,4.1302807538769331e-16,1.0930888339306533,1039066297.0897352
n10_linear_f1.0_d3.0,7,0.12173008372241136,0.11946382842868557,0.0028592101299540948,2.5349415793043947e-05,true,3.3361231566934066e-05,true,3.262723941740622e-05,true,1.0625276224973123e-15,1.0931169922797888,6678492575473598
n10_linear_f1.0_d4.0,1,0.038012742681064721,0.037552402307741144,0.00059186493215262407,0,false,0,false,0,false,2.2177256148332394e-16,1.0343177389940039,1.0343177389940037
n10_linear_f1.0_d4.0,3,0.038033525894391067,0.037664147926141762,0.00047266698432639617,0.0023970037131311205,true,0.0029495563554750069,true,0.0031490996473096974,true,3.5514679395260152e-16,1.0358648536337212,33.157775560041735
n10_linear_f1.0_d4.0,5,0.038033790942451656,0.037666469477994673,0.00047004246510157639,5.1159201144770825e-05,true,6.1290845140566313e-05,true,7.0240680827548735e-05,true,9.2905950390580303e-16,1.0358843559016382,17812086.900407441
n10_linear_f1.0_d4.0,7,0.038033793471510924,0.037666496127107457,0.00047001179580407899,5.9564817219058316e-07,true,7.0356466393319331e-07,true,8.2342088073879417e-07,true,6.5065214635887172e-16,1.0358845317632068,35678169370744.297
n10_linear_f1.0_d6.0,1,0.0077591728395967679,0.0077297061353256216,3.8528083462974516e-05,0,false,0,false,0,false,2.2694182825376213e-16,1.0107496491316861,1.0107496491316863
n10_linear_f1.0_d6.0,3,0.0077594832950641963,0.0077328144992449199,3.4883577752974651e-05,0.00034736790944021499,true,0.00040251030068385446,true,0.00047232795869476131,true,3.3807084711142835e-16,1.0108741605468481,2.0773016695857196
n10_linear_f1.0_d6.0,5,0.0077594831106804034,0.007732825824681936,3.4868993512635245e-05,1.3626628416956274e-06,true,1.4672553791485867e-06,true,1.9172010469063111e-06,true,4.8607843675047326e-16,1.0108744362219015,61418.316124003512
n10_linear_f1.0_d10.0,1,0.001133752199559119,0.0011328085622600383,1.2407323968639152e-06,0,false,0,false,0,false,2.1227816996978089e-16,1.0026024894660979,1.0026024894660979
