case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n6_compact_f0.1_d2.5,holdout,6,compact,0.10000000000000001,2.5,0.011552778171626758,0.011552778171626768,1.0408340855860843e-17,0.011153940358157121,0.034523108428514519,0.011552840652999344,0.013865034396222803,1.0000054083417553,1.2001472018457739,0.0039324094710462181
n6_compact_f0.1_d3.0,holdout,6,compact,0.10000000000000001,3,0.006784012632833139,0.0067840126328331356,3.4694469519536142e-18,0.0064548265961557362,0.048523794764799087,0.006784115296450708,0.0081351904447885346,1.0000151331701648,1.1991708867722319,0.0065935882165631303
n6_compact_f0.1_d4.0,holdout,6,compact,0.10000000000000001,4,0.0029642289376046278,0.0029642289376046343,6.5052130349130266e-18,0.0027231299702532032,0.081336149274037151,0.0029644442583115476,0.003548638659890537,1.0000726397020763,1.1971540439646875,0.014519085802670955
n6_compact_f0.1_d6.0,holdout,6,compact,0.10000000000000001,6,0.00095781042281920556,0.00095781042281920773,2.1684043449710089e-18,0.00080685332451946703,0.15760644768869334,0.00095834257924069712,0.0011440548570536397,1.0005555968162501,1.1944481181215822,0.040496849195955226
n6_compact_f0.1_d10.0,holdout,6,compact,0.10000000000000001,10,0.00025108741138185771,0.00025108741138185728,4.3368086899420177e-19,0.00017428031809620502,0.30589782603175969,0.00025223671252453094,0.00030208772144760661,1.0045772949601435,1.203117750049951,0.11584379144541371
n6_compact_f0.4_d2.1,holdout,6,compact,0.40000000000000002,2.1000000000000001,0.077186606943777145,0.077186606943777117,2.7755575615628914e-17,0.07527494572776372,0.024766747648408159,0.077186760274342459,0.092690504416645031,1.0000019864918464,1.2008625341461243,0.0023791483465993362
n6_compact_f0.4_d2.5,holdout,6,compact,0.40000000000000002,2.5,0.04621111268650703,0.046211112686507072,4.163336342344337e-17,0.044615761432628485,0.034523108428514519,0.046211362611997375,0.055460137584891211,1.0000054083417553,1.2001472018457739,0.0039324094710462181
n6_compact_f0.4_d3.0,holdout,6,compact,0.40000000000000002,3,0.027136050531332556,0.027136050531332542,1.3877787807814457e-17,0.025819306384622945,0.048523794764799087,0.027136461185802832,0.032540761779154138,1.0000151331701648,1.1991708867722319,0.0065935882165631303
n6_compact_f0.4_d4.0,holdout,6,compact,0.40000000000000002,4,0.011856915750418511,0.011856915750418537,2.6020852139652106e-17,0.010892519881012813,0.081336149274037151,0.01185777703324619,0.014194554639562148,1.0000726397020763,1.1971540439646875,0.014519085802670955
n6_compact_f0.4_d6.0,holdout,6,compact,0.40000000000000002,6,0.0038312416912768222,0.0038312416912768309,8.6736173798840355e-18,0.0032274132980778681,0.15760644768869334,0.0038333703169627885,0.0045762194282145587,1.0005555968162501,1.1944481181215822,0.040496849195955226
n6_compact_f0.4_d10.0,holdout,6,compact,0.40000000000000002,10,0.0010043496455274309,0.0010043496455274291,1.7347234759768071e-18,0.00069712127238482008,0.30589782603175969,0.0010089468500981238,0.0012083508857904264,1.0045772949601435,1.203117750049951,0.11584379144541371
n6_compact_f0.8_d2.1,holdout,6,compact,0.80000000000000004,2.1000000000000001,0.15437321388755429,0.15437321388755423,5.5511151231257827e-17,0.15054989145552744,0.024766747648408159,0.15437352054868492,0.18538100883329006,1.0000019864918464,1.2008625341461243,0.0023791483465993362
n6_compact_f0.8_d2.5,holdout,6,compact,0.80000000000000004,2.5,0.092422225373014075,0.092422225373014144,6.9388939039072284e-17,0.089231522865256971,0.034523108428514519,0.092422725223994751,0.11092027516978242,1.0000054083417553,1.2001472018457739,0.0039324094710462181
n6_compact_f0.8_d3.0,holdout,6,compact,0.80000000000000004,3,0.054272101062665133,0.054272101062665085,4.8572257327350599e-17,0.05163861276924589,0.048523794764799087,0.054272922371605664,0.065081523558308277,1.0000151331701648,1.1991708867722319,0.0065935882165631303
